 , , ,ACTIVE CASES, , , , ,CLOSED CASES,,
DATE,TOTAL,MILD CASES,MILD%,CRITICAL CASES,CRIT%,TOTAL,RECOVERIES,RECOV%,DEATHS,DEATH%
3/20/2020,"125,435","118,277",94.29%,"7,158",5.71%,"93,333","84,388",90.42%,"8,945",9.58%
3/20/2020,"155,180","147,714",95.19%,"7,466",4.81%,"99,518","89,071",89.50%,"10,447",10.50%
2020-03-20 - 13,"155,183","147,717",95.19%,"7,466",4.81%,"99,518","89,071",89.50%,"10,447",10.50%
2020-03-20 - 13,"155,183","147,717",95.19%,"7,466",4.81%,"99,518","89,071",89.50%,"10,447",10.50%
2020-03-20 - 13,"155,120","147,654",95.19%,"7,466",4.81%,"99,583","89,136",89.51%,"10,447",10.49%
2020-03-20 - 13:53:25.069109,"154,442","146,975",95.17%,"7,467",4.83%,"100,356","89,908",89.59%,"10,448",10.41%
2020-03-20 - 13:56:39.098744,"154,444","146,977",95.17%,"7,467",4.83%,"100,355","89,908",89.59%,"10,447",10.41%
2020-03-20 - 13:58:42.700170,"154,444","146,977",95.17%,"7,467",4.83%,"100,355","89,908",89.59%,"10,447",10.41%
2020-03-20 - 16:10:25.836812,"158,004","150,537",95.27%,"7,467",4.73%,"100,466","89,922",89.50%,"10,544",10.50%
2020-03-20 - 16:22:16.920573,"158,386","150,915",95.28%,"7,471",4.72%,"100,466","89,922",89.50%,"10,544",10.50%
2020-03-23 - 13:40:05.244226,"237,226","225,931",95.24%,"11,295",4.76%,"116,013","100,605",86.72%,"15,408",13.28%
2020-03-23 - 13:46:36.635203,"237,253","225,958",95.24%,"11,295",4.76%,"116,013","100,605",86.72%,"15,408",13.28%
2020-03-23 - 13:50:55.208921,"237,254","225,956",95.24%,"11,298",4.76%,"116,012","100,604",86.72%,"15,408",13.28%
2020-03-27 - 15:45:04.925357,"405,210","384,122",94.80%,"21,088",5.20%,"154,141","128,781",83.55%,"25,360",16.45%
2020-03-27 - 15:52:17.706691,"410,818","389,730",94.87%,"21,088",5.13%,"154,191","128,781",83.52%,"25,410",16.48%
2020-03-28 - 00:12:28.811182,"434,471","410,808",94.55%,"23,663",5.45%,"159,873","132,622",82.95%,"27,251",17.05%
2020-03-28 - 10:59:09.162272,"448,413","424,418",94.65%,"23,995",5.35%,"165,464","137,233",82.94%,"28,231",17.06%
2020-03-28 - 14:48:45.183161,"455,062","431,045",94.72%,"24,017",5.28%,"166,024","137,363",82.74%,"28,661",17.26%
2020-03-28 - 20:45:20.452508,"486,063","460,815",94.81%,"25,248",5.19%,"171,852","141,419",82.29%,"30,433",17.71%
2020-03-29 - 20:05:52.641353,"530,818","504,081",94.96%,"26,737",5.04%,"184,537","150,883",81.76%,"33,654",18.24%
2020-03-30 - 22:06:10.723655,"578,754","549,274",94.91%,"29,480",5.09%,"202,253","164,685",81.43%,"37,568",18.57%
2020-03-30 - 22:37:29.658927,"579,181","549,701",94.91%,"29,480",5.09%,"202,304","164,726",81.42%,"37,578",18.58%
